ID,Priority,Category,Issue Summary,Senior Review,Recheck Status (Sep 10 2026),Risk If Ignored,Affected Pages/URLs,Root Cause,Files to Change,How to Fix (Step-by-Step),Do NOT,Verification Steps,Owner,Estimated Effort,Phase,Depends On,Status
SEO-004,High,Broken Page,fr/gear.php returns 404 — FR nav links broken,Urgent live bug. /fr/equipement.php works (200). FR nav still uses href=gear.php which resolves to /fr/gear.php (404). Fix nav AND add 301 redirect.,Still open — HTTP 404 confirmed. FR header links to gear.php,Still open — HTTP 404 confirmed. FR header links to gear.php,High — FR users hit 404 from navigation; crawl waste; broken internal links,https://myalphafitness.ca/fr/gear.php + all FR pages linking to gear.php,FR navigation uses relative gear.php instead of equipement.php; no redirect safety net,fr/includes/header.php (or shared nav) + .htaccess,"1) curl -I fr/gear.php (404) and fr/equipement.php (200). 2) grep -rn 'href=""gear.php""' fr/ — replace ALL with equipement.php. 3) Add to .htaccess: Redirect 301 /fr/gear.php https://myalphafitness.ca/fr/equipement.php. 4) Update hreflang pair: en gear.php ↔ fr equipement.php. 5) Deploy and re-test FR nav click.",Do not leave 404 live. Do not redirect FR users to English gear.php. Do not create two FR gear pages.,curl -I fr/gear.php returns 301. curl -s fr/ | grep gear.php returns nothing. FR nav opens equipement.php. Screaming Frog 0 client errors for gear.,Developer,30 minutes,Week 1,,Not Started
SEO-002,High,Meta Tags,130 pages have obsolete meta keywords tag,Fastest high-impact win. One template delete fixes ~107 pages. Google ignores this tag since 2009.,Still open — confirmed on homepage about.php blog,Low ranking impact but signals outdated site; adds dead HTML weight,130 pages (~107 template + custom overrides),Shared head/SEO partial outputs 441-char meta keywords block,includes/head.php or includes/seo.php (grep meta name=keywords),"1) grep -rn 'meta name=""keywords""' --include='*.php' . 2) Delete entire meta keywords line from shared SEO partial. 3) Remove custom keyword blocks on facility pages (Treana Liveo etc). 4) Deploy. 5) curl about.php and fr/a-propos.php — grep keywords must return empty.",Do not replace with another hidden keyword field. Do not fix English only — clean FR too.,grep in codebase returns 0. Screaming Frog Meta Keywords = 0 pages. Spot-check 5 EN + 5 FR URLs.,Developer,1 hour,Week 1,,Not Started
SEO-008,Medium,Canonical URLs,News tag pages have WRONG canonical — point to themselves not /news.php,Senior recheck found active bug: news.php?tag=gym-design canonical = itself. Worse than missing canonical. Fix PHP logic.,Still open — live canonical is self-referencing on tag URLs,Medium — duplicate titles indexed; Google may suppress tag/main news pages,"news.php?tag=corporate-wellness, ?tag=gym-equipment, ?tag=gym-design",news.php builds canonical from current URL including query string,news.php + fr/nouvelles.php,"1) curl -s 'news.php?tag=gym-design' | grep canonical — confirm bug. 2) In news.php: if tag param set force $canonicalUrl = 'https://myalphafitness.ca/news.php'. 3) Optional: set robots noindex follow on tag views. 4) Mirror logic in fr/nouvelles.php. 5) Keep tag filter UI links — canonical handles SEO.",Do not canonicalise tag URLs to themselves. Do not remove tag functionality.,Tag URL canonical href = news.php (no query). Screaming Frog duplicate titles for news = 0.,Developer,30 minutes,Week 1,,Not Started
SEO-007,Medium,Duplicates,4 duplicate titles + 7 duplicate meta descriptions,Confirmed live: residential-gym-ac/sf share title. 7 facility pages share generic meta. facilities-espacew.php meta says Vita Sport (wrong name).,Still open,Medium — Google may suppress duplicate URLs in SERPs,"residential-gym-ac.php, residential-gym-sf.php, news tag URLs, 7 facility pages",Copy-paste SEO fields across pages; tag pages inherit news title,Individual page PHP files or CMS records per facility/residential page,"1) Set unique $pageTitle on residential-gym-ac (AC Residential Gym Design | Alpha Fitness) and residential-gym-sf (SF Garage Gym Design | Alpha Fitness). 2) Write unique $metaDescription per facility referencing correct client name. 3) Fix facilities-espacew.php — must say Espace W not Vita Sport. 4) Complete SEO-008 for news tag duplicates. 5) Write unique FR facility titles (not copy of about.php title).",Do not fix titles without fixing matching H1 later (SEO-003). Do not duplicate EN copy on FR pages without translation.,Screaming Frog Duplicate Titles = 0. Duplicate Meta Descriptions = 0. Manual check espacew meta mentions Espace W.,Developer + SEO,3 hours,Week 1,SEO-008,Not Started
SEO-001,Critical,Structured Data,Incomplete schema rollout — extend existing pattern not rebuild,Audit said 0 schema — outdated. Homepage has LocalBusiness; blog has BlogPosting+FAQPage; service pages have Article. Extend to all templates. Fix duplicate FAQ questions in JSON-LD.,Partially fixed — gaps on facility pages FR mirrors FAQ dedupe,Medium-high — missed FAQ snippets breadcrumbs local rich results,All ~157 indexable pages,Schema added to some templates only; FAQ generator duplicates questions,includes/schema.php or SEO partial + blog-article.php + service templates + facility templates,"1) Audit @type per template via curl + grep. 2) Centralize JSON-LD in includes/schema.php using @graph (copy homepage pattern). 3) Homepage: verify LocalBusiness fields. 4) Service pages: add Service schema (6 EN + 6 FR). 5) Blog: BlogPosting + FAQPage (only if FAQ visible) + BreadcrumbList on all 23 posts. 6) Facility pages: add BreadcrumbList minimum. 7) Deduplicate FAQ questions in PHP before json_encode. 8) Validate in Google Rich Results Test (5 URLs EN+FR).",Do not add FAQ schema without visible FAQ on page. Do not output invalid JSON. Do not duplicate Organization block with conflicting data.,Rich Results Test passes 5 sample URLs. FAQ count in schema = visible FAQ count. No duplicate FAQ questions in JSON-LD.,Developer,6-8 hours,Week 2,,Not Started
SEO-003,High,On-Page SEO,86 pages share duplicate H1 text,Pages have an H1 but category/listing templates reuse same text. Service pages already have good unique H1s. Demote shared section labels from H1 to H2.,Still open — generic H1s on category templates,High — Google cannot distinguish page topics,86 of 159 pages,Template uses shared section heading as H1; some pages may have multiple H1s,Page PHP files + shared content templates,"1) Export Screaming Frog H1 duplicate report. 2) Add $pageH1 variable per page/CMS record. 3) Template renders exactly one h1 from $pageH1. 4) Change reused section labels (OUR SERVICES etc) from h1 to h2. 5) SEO writes unique H1 copy per URL with primary keyword. 6) Fix news tag pages via canonical/noindex OR unique H1 per tag.",Do not hide duplicate H1s with CSS. Do not use multiple H1 for styling. Do not copy same H1 across EN/FR without translating.,Screaming Frog: no H1 text on more than 1 URL per language. View-source: exactly one h1 tag per page.,Developer + SEO,1 day,Week 2-3,,Not Started
SEO-005,Medium,Title Tags,70 page titles exceed 60 characters,Content task — developer implements SEO writes copy. 44% of site affected. privacy.php only 13 chars — too short.,Still open,Medium — truncated titles reduce click-through rate in SERPs,70 pages (15 priority EN + 55 FR),Titles written too long for SERP display,Per-page $pageTitle in PHP or CMS,"1) Export long titles from Screaming Frog. 2) SEO rewrites to 50-60 chars keyword first. 3) Append | Alpha Fitness only if fits. 4) Update $pageTitle per page. 5) Fix privacy.php: Privacy Policy | Alpha Fitness Canada. 6) Repeat for 55 FR pages with native French copy. 7) Use character counter before deploy.",Do not keyword-stuff. Do not exceed 60 chars. Do not create duplicate titles (see SEO-007).,Screaming Frog Page Titles over 60 chars near 0%. All titles unique.,SEO/Content,4-6 hours,Week 2,,Not Started
SEO-006,Medium,Meta Description,61 meta descriptions exceed 155 characters,Content task. Descriptions read like page copy not SERP snippets. residential-gym-ac.php also too short at 53 chars.,Still open,Medium — truncated snippets reduce CTR,61 pages + 1 too-short page,Long marketing copy used as meta description,Per-page $metaDescription in PHP or CMS,"1) Export long descriptions from Screaming Frog. 2) Rewrite to 120-155 chars — buyer benefit + soft CTA. 3) Expand residential-gym-ac.php to 120+ chars. 4) Update $metaDescription per page. 5) French pages in parallel.",Do not duplicate descriptions across facility pages. Do not exceed 155 chars.,Screaming Frog Meta Description over 155 = 0. All unique. Short pages at least 120 chars.,SEO/Content,3-4 hours,Week 2,SEO-007,Not Started
SEO-009,Low,Security/Links,External target=_blank links missing rel=noopener,Partially fixed — form links OK. Team LinkedIn on about.php still missing noopener. Fix once in template or helper.,Partially fixed,Low — minor security (tabnabbing),57 links (LinkedIn team links confirmed on about.php),Some link templates omit rel attribute,about.php team section + footer social + any external link partials,"1) grep -rn 'target=""_blank""' --include='*.php' . | grep -v noopener. 2) Add rel=""noopener noreferrer"" to every external blank link. 3) Best: create externalLink() helper and use sitewide. 4) Check footer social icons and partner links.",Do not remove target=_blank from links that need new tab. Do not add noopener to internal links.,Screaming Frog Unsafe Cross-Origin Links = 0.,Developer,1 hour,Week 3,,Not Started
SEO-010,Low,Hreflang,3 pages missing hreflang return/self-reference links,Site hreflang is strong overall (159/159 in audit). Only 3 pages broken — low priority cleanup.,Not re-verified page-by-page,Low — Google may serve wrong language for 3 URLs,3 pages per original crawl,Incomplete hreflang set on specific EN/FR pairs,Shared SEO partial or per-page hreflang config array,"1) Screaming Frog hreflang report — identify 3 URLs. 2) Each page needs en-CA fr-CA x-default tags including self-reference. 3) EN page must link to FR and vice versa. 4) Fix in shared partial using page config array if possible.",Do not use wrong FR URL in hreflang. Do not omit x-default.,Screaming Frog hreflang errors = 0. Hreflang checker tool passes.,Developer,30 minutes,Week 3,,Not Started
